;;A;B;C;D;E;F;;;
Order;Std. Order;Gamespeed;Civilization;Handicap;Mouse;Sounds;Keyboard;ABCDEF;Time;
1;12;1;1;-1;1;-1;-1;-1;6:27;
2;55;-1;1;1;-1;1;1;1;7:30;
3;47;-1;1;1;1;-1;1;1;6:48;
4;58;1;-1;-1;1;1;1;1;6:49;
5;9;-1;-1;-1;1;-1;-1;-1;7:05;
6;22;1;-1;1;-1;1;-1;-1;7:48;
7;8;1;1;1;-1;-1;-1;-1;6:43;
8;61;-1;-1;1;1;1;1;1;7:25;
9;23;-1;1;1;-1;1;-1;-1;7:24;
10;49;-1;-1;-1;-1;1;1;1;7:23;
11;3;-1;1;-1;-1;-1;-1;-1;6:58;
12;40;1;1;1;-1;-1;1;1;6:40;
13;35;-1;1;-1;-1;-1;1;1;7:00;
14;34;1;-1;-1;-1;-1;1;1;6:48;
15;59;-1;1;-1;1;1;1;1;6:02;
16;15;-1;1;1;1;-1;-1;-1;6:44;
17;44;1;1;-1;1;-1;1;1; 5:50;
18;37;-1;-1;1;-1;-1;1;1;8:05;
19;54;1;-1;1;-1;1;1;1;7:04;
20;64;1;1;1;1;1;1;1;6:15;
21;46;1;-1;1;1;-1;1;1;6:54;
22;14;1;-1;1;1;-1;-1;-1;7:07;
23;52;1;1;-1;-1;1;1;1;6:18;
24;2;1;-1;-1;-1;-1;-1;-1;6:57;
25;20;1;1;-1;-1;1;-1;-1;6:21;
26;17;-1;-1;-1;-1;1;-1;-1;7:26;
27;32;1;1;1;1;1;-1;-1;6:44;
28;41;-1;-1;-1;1;-1;1;1;6:30;
29;29;-1;-1;1;1;1;-1;-1;7:15;
30;26;1;-1;-1;1;1;-1;-1;6:49;
31;5;-1;-1;1;-1;-1;-1;-1;8:33;two death vils
32;27;-1;1;-1;1;1;-1;-1;6:19;
;;;;;;;;;;
33;66;0;0;0;1;-1;-1;0;6:28;
34;72;0;0;0;1;1;1;0;6:19;
35;69;0;0;0;-1;-1;1;0;6:25;
36;65;0;0;0;-1;-1;-1;0;6:55;
37;71;0;0;0;-1;1;1;0;6:46;
38;70;0;0;0;1;-1;1;0;6:21;
39;67;0;0;0;-1;1;-1;0;7:11;
40;68;0;0;0;1;1;-1;0;6:45;
